"abertura_do_microempreendedor_individual_mei",1760,"Abertura do microempreendedor individual (MEI)"
"acessibilidade_possivel_na_maior_parte_das_vias_internas",588,"Acessibilidade possível na maior parte das vias internas"
"acesso_a_canais_de_televisao",1708,"Acesso a canais de televisão"
"acesso_a_internet_por_telefone_movel_celular_para_uso_pessoal",957,"Acesso à Internet por telefone móvel celular para uso pessoal"
"acesso_a_servico_pago_de_streaming_de_video",1706,"Acesso a serviço pago de streaming de vídeo"
"acesso_a_televisao_por_assinatura",681,"Acesso à televisão por assinatura"
"acesso_gratuito_a_internet_em_locais_publicos",1138,"Acesso gratuito à internet em locais públicos"
"acoes_para_evitar_ou_minimizar_os_danos_causados_pela_seca",1192,"Ações para evitar ou minimizar os danos causados pela seca"
"adequacao_da_moradia",12236,"Adequação da moradia"
"adicao_reducao_de_estoque",915,"Adição/Redução de estoque"
"adocao_de_medidas_de_combate_a_discriminacao_pelo_orgao_gestor_da_educacao",1489,"Adoção de medidas de combate a discriminação pelo órgão gestor da educação"
"agente_financeiro_responsavel_pelo_financiamento",12542,"Agente financeiro responsável pelo financiamento"
"agressor_da_unica_ocorrencia_ou_a_mais_grave",1260,"Agressor da única ocorrência ou a mais grave"
"agricultura_familiar",12896,"Agricultura familiar"
"alfabetizacao",59,"Alfabetização"
"alfabetizacao_da_pessoa_responsavel_pelo_domicilio",11563,"Alfabetização da pessoa responsável pelo domicílio"
"alguma_vez_o_escolar_ja_usou_alguma_droga_tais_como_maconha_cocaina_crack_cola_lolo_lanca_perfume_ecstasy_ou_outra",147,"Alguma vez o escolar já usou alguma droga, tais como: maconha, cocaína, crack, cola, loló, lança perfume, ecstasy ou outra"
"alguns_bens_duraveis_existentes_no_domicilio",12060,"Alguns bens duráveis existentes no domicílio"
"alocacao_do_pessoal",11997,"Alocação do pessoal"
"ambiente_de_criacao",12738,"Ambiente de criação"
"ano",1933,"Ano"
"ano_da_safra",49,"Ano da safra"
"ano_da_seca_de_maior_impacto",1187,"Ano da seca de maior impacto"
